strata,patch,time,R_eff
3,4,32,0.601232026881338
1,5,32,0.4458113436015699
2,5,32,0.8017277959564248
3,5,32,0.6012338249537756
1,1,33,0.44539790337302787
2,1,33,0.8010852923276593
3,1,33,0.6007037914239742
1,2,33,0.44561524393422597
2,2,33,0.8011814355956245
3,2,33,0.6008335451831359
1,3,33,0.4455697261909203
2,3,33,0.8011555422194759
3,3,33,0.6007978090234951
1,4,33,0.4456131790748514
2,4,33,0.8011600512983249
3,4,33,0.6008130679173713
1,5,33,0.4455237525406405
2,5,33,0.8011239681953628
3,5,33,0.600801745325095
1,1,34,0.44512064896351017
2,1,34,0.8005060764824665
3,1,34,0.6002877173887778
1,2,34,0.44534235429798413
2,2,34,0.800602380179821
3,2,34,0.6004211890703279
1,3,34,0.445297710031185
2,3,34,0.8005793992979306
3,3,34,0.6003872608562676
1,4,34,0.4453442020672633
2,4,34,0.8005870631037014
3,4,34,0.600405818852745
1,5,34,0.4452443296438352
2,5,34,0.8005380366339994
3,5,34,0.6003821047893205
1,1,35,0.44485314464080106
2,1,35,0.7999473263303559
3,1,35,0.599886041973843
1,2,35,0.4450788454608111
2,2,35,0.8000437278982635
3,2,35,0.6000229570532641
1,3,35,0.44503506871268617
2,3,35,0.8000235201043328
3,3,35,0.599990771450928
1,4,35,0.4450843813135709
2,4,35,0.800034139017724
3,4,35,0.6000124177659057
1,5,35,0.44497475480712967
2,5,35,0.7999729681218203
3,5,35,0.5999770586844357
1,1,36,0.4445959529760404
2,1,36,0.7994099811041255
3,1,36,0.5994994734151661
1,2,36,0.44482530245513185
2,2,36,0.7995064278864314
3,2,36,0.5996395713342012
1,3,36,0.4447823811347787
2,3,36,0.799488851811101
3,3,36,0.5996090588566018
1,4,36,0.4448343039163075
2,4,36,0.7995022315203358
3,4,36,0.5996335883037301
1,5,36,0.44471559511985187
2,5,36,0.7994296952210416
3,5,36,0.599587315213483
1,1,37,0.44434906077961184
2,1,37,0.798893927182603
3,1,37,0.5991279689851816
1,2,37,0.444581738103116
2,2,37,0.7989903740756444
3,2,37,0.5992710051470722
1,3,37,0.44453965619662766
2,3,37,0.7989752911720899
3,3,37,0.5992420955022832
1,4,37,0.44459399122641796
2,4,37,0.7989912466243547
3,4,37,0.5992693126496024
1,5,37,0.444466837162238
2,5,37,0.7989080885802341
3,5,37,0.599212825634442
1,1,38,0.44411218980668166
2,1,38,0.7983985692375533
3,1,38,0.5987711411658302
1,2,38,0.44434790028154614
2,2,38,0.7984949770626908
3,2,38,0.5989168870635425
1,3,38,0.44430663917661456
2,3,38,0.7984822538692723
3,3,38,0.5988895108574586
1,4,38,0.4443632022973949
2,4,38,0.7985006107107204
3,4,38,0.598919231567876
1,5,38,0.4442281999503253
2,5,38,0.7984075333624575
3,5,38,0.5988531936228711
1,1,39,0.4438849612755752
2,1,39,0.797923133230586
3,1,39,0.5984284726500286
1,2,39,0.4441234350537111
2,2,39,0.7980194677070206
3,2,39,0.5985767152958377
1,3,39,0.4440829743126633
2,3,39,0.7980089767175635
3,3,39,0.5985508048017102
1,4,39,0.44414159508316337
2,4,39,0.7980295715109879
3,4,39,0.5985828564880612
1,5,39,0.4439993007912889
2,5,39,0.7979272349908284
3,5,39,0.5985078920621604
1,1,40,0.4436669739922835
2,1,40,0.7974668095522731
3,1,40,0.5980994175029237
1,2,40,0.4439079643256342
2,2,40,0.7975630406602253
3,2,40,0.5982499586451783
1,3,40,0.44386828215548535
2,3,40,0.7975546604969797
3,3,40,0.5982254481003457
1,4,40,0.44392880319372297
2,4,40,0.7975773403953551
3,4,40,0.5982596693999669
1,5,40,0.44377973414381394
2,5,40,0.7974663636078377
3,5,40,0.5981763651254202
1,1,41,0.44345783648159565
2,1,41,0.7970288109370592
3,1,41,0.597783441853136
1,2,41,0.4437011178971542
2,2,41,0.7971249125006363
3,2,41,0.5979360971613473
1,3,41,0.4436621914677813
2,3,41,0.7971185277768883
3,3,41,0.5979129228521878
1,4,41,0.44372446757840367
2,4,41,0.7971431499877305
3,4,41,0.5979491630724759
1,5,41,0.44356910412329276
2,5,41,0.7970241125563402
3,5,41,0.5978580693929416
1,1,42,0.4432571771278757
2,1,42,0.796608389848585
3,1,42,0.5974800360314196
1,2,42,0.4435025436729663
2,2,42,0.796704339228132
3,2,42,0.5976346343051504
1,3,42,0.4434643493631451
2,3,42,0.7966998402968273
3,3,42,0.5976127345720332
1,4,42,0.44352824662374923
2,4,42,0.7967262714905389
3,4,42,0.5976508530700574
1,5,42,0.4433670348149816
2,5,42,0.7965997159596395
3,5,42,0.5975524861561112
1,1,43,0.4430646451555378
2,1,43,0.7962048392539733
3,1,43,0.5971887151690132
1,2,43,0.44331190876221244
2,2,43,0.7963006170863685
3,2,43,0.5973450975803167
1,3,43,0.44327442237022757
2,3,43,0.7962978997642522
3,3,43,0.5973244128007569
1,4,43,0.44333981725007293
2,4,43,0.7963260154893813
3,4,43,0.5973642783655968
1,5,43,0.4431731713220603
2,5,43,0.7961924495226023
3,5,43,0.5972591220541781
1,1,44,0.44287990860661974
2,1,44,0.7958174882076556
3,1,44,0.5969090163135284
1,2,44,0.44312889758381896
2,2,44,0.7959130781645816
3,2,44,0.5970670356798329
1,3,44,0.44309209451684
2,3,44,0.795912043466706
3,3,44,0.5970475082507242
1,4,44,0.4431588730541052
2,4,44,0.7959417275935976
3,4,44,0.5970889985132417
1,5,44,0.44298717776041263
2,5,44,0.7958016260753041
3,5,44,0.5969775061733598
1,1,45,0.4427026518923974
2,1,45,0.7954456969518203
3,1,45,0.5966404953287974
1,2,45,0.44295320954046247
2,2,45,0.7955410855039993
3,2,45,0.5968000154120114
1,3,45,0.44291706498673233
2,3,45,0.7955416393982107
3,3,45,0.5967815897352615
1,4,45,0.44298512202998125
2,4,45,0.7955727835954421
3,4,45,0.5968245906113724
1,5,45,0.4428087348057051
2,5,45,0.795426590612502
3,5,45,0.5967071869102429
1,1,46,0.44253257377180666
2,1,46,0.7950888530226062
3,1,46,0.5963827245663761
1,2,46,0.4427845571102013
2,2,46,0.7951840292070633
3,2,46,0.5965436193959636
1,3,46,0.4427490461944095
2,3,46,0.7951860823880025
3,3,46,0.5965262418659046
1,4,46,0.4428182847059968
2,4,46,0.7952185856301278
3,4,46,0.5965706470326766
1,5,46,0.44263753765961955
2,5,46,0.7950667163370075
3,5,46,0.5964477296032502
1,1,47,0.4423693858851549
2,1,47,0.7947463685179913
3,1,47,0.5961352913678883
1,2,47,0.4426226644841377
2,2,47,0.794841323709357
3,2,47,0.5962974445876322
1,3,47,0.4425877624056361
2,3,47,0.7948447913885259
3,3,47,0.5962810635773995
1,4,47,0.4426580928223001
2,4,47,0.7948785594924017
3,4,47,0.5963267739795388
1,5,47,0.44247329457008594
2,5,47,0.7947214018692925
3,5,47,0.5961987149976946
1,1,48,0.44221281173046295
2,1,48,0.7944176782571485
3,1,48,0.5958977971739257
1,2,48,0.44246726663830815
2,2,48,0.7945124059452873
3,2,48,0.5960611014132825
1,3,48,0.44243294879216877
2,3,48,0.7945172076536231
3,3,48,0.596045667257943
1,4,48,0.4425042884377532
2,4,48,0.7945521528409065
3,4,48,0.5960925906422884
1,5,48,0.44231572579537065
2,5,48,0.7943900693542855
3,5,48,0.5959597383219601
1,1,49,0.44206258593237047
2,1,49,0.7941022385125908
3,1,49,0.595669856996371
1,2,49,0.44231810869064436
2,2,49,0.7941967340888941
3,2,49,0.5958342132677568
1,3,49,0.44228435077212686
2,3,49,0.7942027934890833
3,3,49,0.5958196782429163
1,4,49,0.44235662331775766
2,4,49,0.7942388339731236
3,4,49,0.595867728719055
1,5,49,0.4421645628626721
2,5,49,0.7940721631460669
3,5,49,0.5957304087316335
1,1,50,0.4419184536843619
2,1,50,0.7937995260700418
3,1,50,0.5954510990740316
1,2,50,0.4421749454244944
2,2,50,0.7938937866242749
3,2,50,0.5956164161973263
1,3,50,0.44214172351793946
2,3,50,0.7939010313309163
3,3,50,0.5956027344927688
1,4,50,0.4422148584855187
2,4,50,0.7939380909267597
3,4,50,0.5956518321183558
1,5,50,0.4420195480019452
2,5,50,0.7937671488244196
3,5,50,0.5955103489408237
1,1,51,0.44178017028676214
2,1,51,0.7935090374595587
3,1,51,0.5952411646009717
1,2,51,0.4420375409017259
2,2,51,0.7936030615885826
3,2,51,0.5954073586562121
1,3,51,0.44200483155515524
2,3,51,0.7936114229950113
3,3,51,0.5953944863446718
1,4,51,0.44207876386050543
2,4,51,0.7936494307515448
3,4,51,0.5954445567343181
1,5,51,0.44188043367710034
2,5,51,0.7934745123858961
3,5,51,0.5952991949292932
1,1,52,0.44164750073621134
2,1,52,0.7932302882700396
3,1,52,0.5950397074691101
1,2,52,0.44190566812155013
2,2,52,0.7933240758992152
3,2,52,0.5952067012779378
1,3,52,0.4418734484083601
2,3,52,0.7933334890102675
3,3,52,0.5951945962794155
1,4,52,0.4419481179407465
2,4,52,0.7933723788636659
3,4,52,0.595245570236184
1,5,52,0.44174698216992175
2,5,52,0.7931937595209059
3,5,52,0.5950965956663338
1,1,53,0.4415202193439185
2,1,53,0.7929628125032772
3,1,53,0.5948463939993984
1,2,53,0.4417791087027545
2,2,53,0.7930563647209029
3,2,53,0.5950141166354004
1,3,53,0.44174735627189066
2,3,53,0.7930667679912036
3,3,53,0.5950027386775867
1,4,53,0.44182270750695984
2,4,53,0.7931064784388915
3,4,53,0.5950545518461902
1,5,53,0.4416189651936888
2,5,53,0.7929244149325426
3,5,53,0.5949022128251512
1,1,54,0.441398109372312
2,1,54,0.7927061619485198
3,1,54,0.5946609026537584
1,2,54,0.44165765257929546
2,2,54,0.7927994808533314
3,2,54,0.5948292889814857
1,3,54,0.4416263456952209
2,3,54,0.7928108160308602
3,3,54,0.5948185995568873
1,4,54,0.441702327338658
2,4,54,0.7928512898251842
3,4,54,0.5948711920976962
1,5,54,0.44149616352584753
2,5,54,0.792666021677843
3,5,54,0.5947157204795668
1,1,55,0.4412809626859231
2,1,55,0.7924599055709661
3,1,55,0.594482923728465
1,2,55,0.4415410977054069
2,2,55,0.7925529941324471
3,2,55,0.5946519139706019
1,3,55,0.4415102152790841
2,3,55,0.7925652061072433
3,3,55,0.5946418762909574
1,4,55,0.44158677993851386
2,4,55,0.7926063899680237
3,4,55,0.5946951925739268
1,5,55,0.4413783666553548
2,5,55,0.7924181405246937
3,5,55,0.5945368047834035
1,1,56,0.441168579415095
2,1,56,0.7922236289130258
3,1,56,0.5943121590329045
1,2,56,0.44142924976913905
2,2,56,0.7923164908441159
3,2,56,0.594481698364827
1,3,56,0.44139877138112854
2,3,56,0.7923295275020226
3,3,56,0.5944722773133533
1,4,56,0.44147587526398935
2,4,56,0.7923713718471352
3,4,56,0.5945262656309532
1,5,56,0.44126537244313885
2,5,56,0.7921803493230967
3,5,56,0.5943651636362829
1,1,57,0.44106076763213276
2,1,57,0.7919969335090857
3,1,57,0.5941483215582929
1,2,57,0.4413219219142357
2,2,57,0.7920895731507279
3,2,57,0.5943183597290767
1,3,57,0.44129182783091053
2,3,57,0.7921033852321178
3,3,57,0.594309521811033
1,4,57,0.4413694304662071
2,4,57,0.792145843925228
3,4,57,0.5943641341092797
1,5,57,0.44115698679517296
2,5,57,0.7919522423914253
3,5,57,0.5942005063402266
1,1,58,0.44095734303973094
2,1,58,0.7917794363148422
3,1,58,0.5939911351405314
1,2,58,0.44121893447049315
2,2,58,0.7918718585317341
3,2,58,0.5941616261193435
1,3,58,0.4411892056542539
2,3,58,0.7918863994951559
3,3,58,0.5941533394113526
1,4,58,0.4412672696362711
2,4,58,0.79192942960973
3,4,58,0.5942085310380232
1,5,58,0.4410530233479174
2,5,58,0.7917334299186548
3,5,58,0.594042553251138
1,1,59,0.4408581286714775
2,1,59,0.7915707691520263
3,1,59,0.593840334120639
1,2,59,0.44112011469267204
2,2,59,0.7916629792388875
3,2,59,0.5940112357673629
1,3,59,0.44109073280696465
2,3,59,0.7916782051295855
3,3,59,0.5940034698658725
1,4,59,0.44116922355917043
2,4,59,0.7917217667283004
3,4,59,0.5940591993350031
1,5,59,0.4409533031658771
2,5,59,0.7915235373833224
3,5,59,0.5938910354284881
1,1,60,0.4407629546041219
2,1,60,0.7913705781690117
3,1,60,0.5936956630054645
1,2,60,0.4410252965079303
2,2,60,0.7914625817666584
3,2,60,0.5938669367643602
1,3,60,0.44099624391777026
2,3,60,0.7914784510899101
3,3,60,0.5938596627335867
1,4,60,0.4410751294752856
2,4,60,0.791522507018606
3,4,60,0.5939158915053683
1,5,60,0.44085765445092645
2,5,60,0.7913222049896583
3,5,60,0.5937456942858411
1,1,61,0.44067165768121286
2,1,61,0.7911785233175054
3,1,61,0.5935568761307718
1,2,61,0.440934320271632
2,2,61,0.7912703263380155
3,2,61,0.5937284867459446
1,3,61,0.44090558004026953
2,3,61,0.7912867999372276
3,3,61,0.5937216770655999
1,4,61,0.44098483084941315
2,4,61,0.7913313156325613
3,4,61,0.5937783693408089
1,5,61,0.4407659122629886
2,5,61,0.7911290871210185
3,5,61,0.5936062812442587
1,1,62,0.44058408124766657
2,1,62,0.7909942778453092
3,1,62,0.5934237373283008
1,2,62,0.44084703253133634
2,2,62,0.7910858864055713
3,2,62,0.5935956525797532
1,3,62,0.440818588413623
2,3,62,0.7911029273450734
3,3,62,0.5935892810928162
1,4,62,0.4408981771471602
2,4,62,0.7911478706550579
3,4,62,0.593646403620943
1,5,62,0.44067791825162034
2,5,62,0.7909438518105741
3,5,62,0.5934725573901353
1,1,63,0.4405000748948063
2,1,63,0.7908175278050086
3,1,63,0.5932960195980357
1,2,63,0.4407632857987318
2,2,63,0.7909089481679713
3,2,63,0.5934682100570886
1,3,63,0.44073512223168837
2,3,63,0.7909265216204368
3,3,63,0.5934622519178566
